Time,Open,High,Low,Last,Change,Volume,"Open Int"
07/12/2016,349,355,342.5,352.25,4,128648,529206
07/11/2016,360,360.75,344,348.25,-6.75,97469,539160
07/08/2016,343,355.5,342,355,13.25,99203,547785
07/07/2016,342.75,353.75,340.5,341.75,0.25,105738,551690
07/06/2016,350.75,352.5,339,341.5,-9.25,118331,556220
07/05/2016,356.25,356.5,341,350.75,-9.25,142162,563435
07/01/2016,367.5,368.75,358.75,360,-5.5,115113,563370
06/30/2016,379.75,382.25,360.25,365.5,-12.25,186180,574285
06/29/2016,389,390.75,377.25,377.75,-11,135738,568731
06/28/2016,387,402,386.5,388.75,-0.5,136380,567069
06/27/2016,389.25,396.75,387.5,389.25,0.25,100927,565154
06/24/2016,392.5,395,378,389,-3.5,124957,560112
06/23/2016,397.75,398,389.5,392.5,-5.75,114558,552896
06/22/2016,402.25,406.5,397.5,398.25,-4,105415,544534
06/21/2016,425.75,428,401.75,402.25,-24.5,146346,544444
06/20/2016,440.5,440.75,426.5,426.75,-16,93245,532487
06/17/2016,429.75,443.5,428.25,442.75,12.25,89647,525123
06/16/2016,431,435.25,425.5,430.5,-3.5,89757,516534
06/15/2016,441,444,433.5,434,-7.75,102447,510680
06/14/2016,435,442.25,428.75,441.75,6.25,132755,497113
06/13/2016,431.75,442.75,431.75,435.5,8,156196,483432
06/10/2016,430,440.75,424.25,427.5,-3,144624,448521
06/09/2016,432.5,433.5,427,430.5,-4.25,134306,414509
06/08/2016,430,442,429.5,434.75,4.25,183156,381459
06/07/2016,427.75,430.75,424.75,430.5,1.5,148973,351186
06/06/2016,420.5,429.5,420.25,429,9.25,78972,323437
06/03/2016,414,420.25,411.75,419.75,4,68668,314935
06/02/2016,415,419.75,414,415.75,0.75,89429,311001
06/01/2016,406.25,415.5,403.25,415,8.25,58443,296485
05/31/2016,413.5,414.25,406,406.75,-7.5,69277,289105
05/27/2016,409.75,414.75,408.5,414.25,3.75,61591,286071
05/26/2016,406.5,411.25,402.5,410.5,3.25,85165,282955
05/25/2016,398.75,407.25,398.25,407.25,7.25,57333,277524
05/24/2016,399.25,404.75,396.5,400,0.25,43889,270040
05/23/2016,396.25,401.25,393,399.75,3,35273,261984
05/20/2016,392.5,398.75,391.5,396.75,4.25,49975,258316
05/19/2016,400.25,400.25,387.75,392.5,-9.75,44643,251468
05/18/2016,399.5,402.75,396.75,402.25,2.5,40757,255961
05/17/2016,394.5,400.5,393.5,399.75,3.75,47402,251831
05/16/2016,393,396.25,389.25,396,2.75,33730,248094
05/13/2016,391,393.75,387.75,393.25,1.5,41257,244415
05/12/2016,380.5,392,380.5,391.75,11.5,44322,244712
05/11/2016,382.5,385.25,377.25,380.25,-2.5,56117,237906
05/10/2016,370.75,387.25,370,382.75,11.75,59183,233620
05/09/2016,380.25,382.5,370.5,371,-8.5,36675,226720
05/06/2016,375.75,380.25,375.25,379.5,3.75,31172,221769
05/05/2016,379,381.5,374,375.75,-3.25,34594,213752
05/04/2016,381.5,383.75,378.5,379,-2.5,42178,213725
05/03/2016,392,394.75,378.75,381.5,-10.75,42948,213437
05/02/2016,390.75,392.5,384.75,392.25,0.5,21112,214571
04/29/2016,390,393.75,387.25,391.75,1.25,22483,214493
04/28/2016,384.25,393.75,383,390.5,5,40089,213156
04/27/2016,388.5,388.75,383,385.5,-3.25,32149,212572
04/26/2016,382.25,389.25,379.75,388.75,6.5,30633,214044
04/25/2016,375,389.25,372.5,382.25,6.75,37492,212583
04/22/2016,388.25,388.5,374.5,375.5,-13.75,40109,210135
04/21/2016,398.25,406.5,389,389.25,-10,56855,209662
04/20/2016,390,400.25,388.5,399.25,9,54629,208015
04/19/2016,383.75,391,383.5,390.25,5.5,54077,199454
04/18/2016,378.25,386.5,378.25,384.75,2.5,58808,195687
04/15/2016,378.5,384.25,377.5,382.25,2.75,46388,191377
04/14/2016,378,380.5,376,379.5,0.5,43686,185638
04/13/2016,367.75,379,367.5,379,11,54366,181732
04/12/2016,362.5,369.5,362.25,368,5.5,47180,174874
04/11/2016,367.75,368,361.75,362.5,-5.5,32267,173638
04/08/2016,366.5,368,364.25,368,1,23107,168677
04/07/2016,363.75,367.25,363.75,367,2.75,29095,165217
04/06/2016,363.5,365,361.75,364.25,0.5,29281,162089
04/05/2016,361.5,363.75,360,363.75,2,23956,158886
04/04/2016,361.75,362,358.75,361.75,0,22381,156263
04/01/2016,361,362,355.75,361.75,1.25,40692,151068
03/31/2016,375.5,376.25,356.75,360.5,-15.5,52694,146064
03/30/2016,381.25,382.5,375.5,376,-5.75,23971,142755
03/29/2016,379.25,381.75,377.75,381.75,2.25,24405,142008
03/28/2016,379.25,381,376.5,379.5,0.25,17090,142531
03/24/2016,377.75,379.25,376.25,379.25,1.5,18104,140824
03/23/2016,379,379.75,375.25,377.75,-2,13661,140092
03/22/2016,378.5,381.25,378.5,379.75,0.5,7234,139004
03/21/2016,376.5,379.5,375.5,379.25,2.5,7634,138662
